Date,City,Route,Mode,DayType,Ridership
2002-03-29,Chicago,Total,Bus,W,755230
2002-03-30,Chicago,Total,Bus,A,616271
2002-03-31,Chicago,Total,Bus,U,377026
2002-04-01,Chicago,Total,Bus,W,971162
2002-04-02,Chicago,Total,Bus,W,970537
2002-04-03,Chicago,Total,Bus,W,1007100
2002-04-04,Chicago,Total,Bus,W,995075
2002-04-05,Chicago,Total,Bus,W,1014222
2002-04-06,Chicago,Total,Bus,A,639707
2002-04-07,Chicago,Total,Bus,U,355354
2002-04-08,Chicago,Total,Bus,W,937560
2002-04-09,Chicago,Total,Bus,W,1013106
2002-04-10,Chicago,Total,Bus,W,1020986
2002-04-11,Chicago,Total,Bus,W,1036014
2002-04-12,Chicago,Total,Bus,W,917031
2002-04-13,Chicago,Total,Bus,A,631465
2002-04-14,Chicago,Total,Bus,U,438900
2002-04-15,Chicago,Total,Bus,W,926258
2002-04-16,Chicago,Total,Bus,W,899896
2002-04-17,Chicago,Total,Bus,W,892185
2002-04-18,Chicago,Total,Bus,W,896865
2002-04-19,Chicago,Total,Bus,W,905545
2002-04-20,Chicago,Total,Bus,A,574009
2002-04-21,Chicago,Total,Bus,U,356144
2002-04-22,Chicago,Total,Bus,W,974101
2002-04-23,Chicago,Total,Bus,W,1021788
2002-04-24,Chicago,Total,Bus,W,918721
2002-04-25,Chicago,Total,Bus,W,1000933
2002-04-26,Chicago,Total,Bus,W,1026348
2002-04-27,Chicago,Total,Bus,A,513069
2002-04-28,Chicago,Total,Bus,U,365481
2002-04-29,Chicago,Total,Bus,W,1001321
2002-04-30,Chicago,Total,Bus,W,1000608
2002-05-01,Chicago,Total,Bus,W,1031532
2002-05-02,Chicago,Total,Bus,W,976392
2002-05-03,Chicago,Total,Bus,W,1075694
2002-05-04,Chicago,Total,Bus,A,660227
2002-05-05,Chicago,Total,Bus,U,443915
2002-05-06,Chicago,Total,Bus,W,994227
2002-05-07,Chicago,Total,Bus,W,1010608
2002-05-08,Chicago,Total,Bus,W,968509
2002-05-09,Chicago,Total,Bus,W,1009271
2002-05-10,Chicago,Total,Bus,W,1047188
2002-05-11,Chicago,Total,Bus,A,492841
2002-05-12,Chicago,Total,Bus,U,358446
2002-05-13,Chicago,Total,Bus,W,975822
2002-05-14,Chicago,Total,Bus,W,1009365
2002-05-15,Chicago,Total,Bus,W,1015551
2002-05-16,Chicago,Total,Bus,W,906240
